-0.01 ;-0.03 ;1.01 ;-21.51 ;-58.85  ;1796.43
-0.01 ;-0.03 ;1.01 ;-21.52 ;-58.89  ;1797.44
-0.01 ;-0.03 ;1.01 ;-21.53 ;-58.92  ;1798.45
-0.01 ;-0.03 ;1.01 ;-21.53 ;-58.95  ;1799.46
-0.01 ;-0.03 ;1.01 ;-21.54 ;-58.98  ;1800.48
-0.01 ;-0.03 ;1.01 ;-21.54 ;-59.02  ;1801.49
-0.01 ;-0.03 ;1.01 ;-21.55 ;-59.05  ;1802.50
-0.01 ;-0.03 ;1.01 ;-21.56 ;-59.08  ;1803.52
-0.01 ;-0.03 ;1.01 ;-21.56 ;-59.11  ;1804.53
-0.01 ;-0.03 ;1.01 ;-21.57 ;-59.14  ;1805.54
-0.01 ;-0.03 ;1.01 ;-21.58 ;-59.18  ;1806.56
-0.01 ;-0.03 ;1.01 ;-21.58 ;-59.21  ;1807.57
-0.01 ;-0.03 ;1.01 ;-21.59 ;-59.24  ;1808.58
-0.01 ;-0.03 ;1.01 ;-21.59 ;-59.28  ;1809.59
-0.01 ;-0.03 ;1.01 ;-21.60 ;-59.31  ;1810.61
-0.01 ;-0.03 ;1.01 ;-21.60 ;-59.34  ;1811.62
-0.00 ;-0.03 ;1.01 ;-21.61 ;-59.37  ;1812.63
-0.01 ;-0.03 ;1.01 ;-21.61 ;-59.40  ;1813.65
-0.01 ;-0.03 ;1.01 ;-21.62 ;-59.44  ;1814.66
-0.01 ;-0.03 ;1.01 ;-21.63 ;-59.47  ;1815.67
-0.01 ;-0.03 ;1.01 ;-21.63 ;-59.50  ;1816.69
-0.01 ;-0.03 ;1.01 ;-21.64 ;-59.53  ;1817.70
-0.01 ;-0.03 ;1.01 ;-21.64 ;-59.57  ;1818.71
-0.01 ;-0.03 ;1.01 ;-21.65 ;-59.60  ;1819.72
-0.01 ;-0.03 ;1.01 ;-21.66 ;-59.63  ;1820.74
-0.01 ;-0.03 ;1.01 ;-21.66 ;-59.66  ;1821.75
-0.01 ;-0.03 ;1.01 ;-21.67 ;-59.70  ;1822.76
-0.01 ;-0.03 ;1.01 ;-21.67 ;-59.73  ;1823.77
-0.01 ;-0.03 ;1.01 ;-21.68 ;-59.76  ;1824.79
-0.01 ;-0.03 ;1.01 ;-21.69 ;-59.79  ;1825.80
-0.01 ;-0.03 ;1.01 ;-21.69 ;-59.82  ;1826.81
-0.01 ;-0.03 ;1.01 ;-21.70 ;-59.86  ;1827.83
-0.01 ;-0.03 ;1.01 ;-21.70 ;-59.89  ;1828.84
-0.01 ;-0.03 ;1.01 ;-21.71 ;-59.92  ;1829.86
-0.01 ;-0.03 ;1.01 ;-21.72 ;-59.95  ;1830.87
-0.01 ;-0.03 ;1.01 ;-21.72 ;-59.99  ;1831.88
-0.01 ;-0.03 ;1.01 ;-21.73 ;-60.02  ;1832.90
-0.01 ;-0.03 ;1.01 ;-21.73 ;-60.05  ;1833.91
-0.01 ;-0.03 ;1.01 ;-21.74 ;-60.08  ;1834.92
-0.01 ;-0.03 ;1.01 ;-21.75 ;-60.11  ;1835.94
-0.01 ;-0.03 ;1.01 ;-21.75 ;-60.14  ;1836.95
-0.01 ;-0.03 ;1.01 ;-21.76 ;-60.18  ;1837.96
-0.01 ;-0.03 ;1.01 ;-21.76 ;-60.21  ;1838.98
-0.01 ;-0.03 ;1.01 ;-21.77 ;-60.24  ;1839.99
-0.01 ;-0.03 ;1.01 ;-21.78 ;-60.27  ;1841.00
